metric,sampler,frac,theta1,theta2,sign,p_misrank,n_valid,pair_id,seed1,seed2
assortativity,random_node,0.3,-0.07749951482827531,-0.020658630939912073,-1.0,0.0,150.0,2,204,305
avg_path,random_node,0.3,3.4857102628285355,4.303620150187735,-1.0,0.0,150.0,2,204,305
modularity,random_node,0.3,0.3889678655196776,0.663583375,-1.0,0.0,150.0,2,204,305
clustering,snowball,0.05,0.016854585609671045,0.4905644829007004,-1.0,0.0,150.0,2,204,305
assortativity,snowball,0.05,-0.07749951482827531,-0.020658630939912073,-1.0,0.04666666666666667,150.0,2,204,305
avg_path,snowball,0.05,3.4857102628285355,4.303620150187735,-1.0,0.9266666666666666,150.0,2,204,305
modularity,snowball,0.05,0.3889678655196776,0.663583375,-1.0,0.02,150.0,2,204,305
clustering,snowball,0.1,0.016854585609671045,0.4905644829007004,-1.0,0.0,150.0,2,204,305
assortativity,snowball,0.1,-0.07749951482827531,-0.020658630939912073,-1.0,0.0,150.0,2,204,305
avg_path,snowball,0.1,3.4857102628285355,4.303620150187735,-1.0,0.08666666666666667,150.0,2,204,305
modularity,snowball,0.1,0.3889678655196776,0.663583375,-1.0,0.0,150.0,2,204,305
clustering,snowball,0.2,0.016854585609671045,0.4905644829007004,-1.0,0.0,150.0,2,204,305
assortativity,snowball,0.2,-0.07749951482827531,-0.020658630939912073,-1.0,0.0,150.0,2,204,305
avg_path,snowball,0.2,3.4857102628285355,4.303620150187735,-1.0,0.0,150.0,2,204,305
modularity,snowball,0.2,0.3889678655196776,0.663583375,-1.0,0.0,150.0,2,204,305
clustering,snowball,0.3,0.016854585609671045,0.4905644829007004,-1.0,0.0,150.0,2,204,305
assortativity,snowball,0.3,-0.07749951482827531,-0.020658630939912073,-1.0,0.0,150.0,2,204,305
avg_path,snowball,0.3,3.4857102628285355,4.303620150187735,-1.0,0.0,150.0,2,204,305
modularity,snowball,0.3,0.3889678655196776,0.663583375,-1.0,0.0,150.0,2,204,305
clustering,degree_weighted,0.05,0.016854585609671045,0.4905644829007004,-1.0,0.46,150.0,2,204,305
assortativity,degree_weighted,0.05,-0.07749951482827531,-0.020658630939912073,-1.0,0.2556390977443609,133.0,2,204,305
avg_path,degree_weighted,0.05,3.4857102628285355,4.303620150187735,-1.0,0.9933333333333333,150.0,2,204,305
modularity,degree_weighted,0.05,0.3889678655196776,0.663583375,-1.0,0.06666666666666667,150.0,2,204,305
clustering,degree_weighted,0.1,0.016854585609671045,0.4905644829007004,-1.0,0.013333333333333334,150.0,2,204,305
assortativity,degree_weighted,0.1,-0.07749951482827531,-0.020658630939912073,-1.0,0.02,150.0,2,204,305
avg_path,degree_weighted,0.1,3.4857102628285355,4.303620150187735,-1.0,0.9866666666666667,150.0,2,204,305
modularity,degree_weighted,0.1,0.3889678655196776,0.663583375,-1.0,0.0,150.0,2,204,305
clustering,degree_weighted,0.2,0.016854585609671045,0.4905644829007004,-1.0,0.0,150.0,2,204,305
assortativity,degree_weighted,0.2,-0.07749951482827531,-0.020658630939912073,-1.0,0.0,150.0,2,204,305
avg_path,degree_weighted,0.2,3.4857102628285355,4.303620150187735,-1.0,0.09333333333333334,150.0,2,204,305
modularity,degree_weighted,0.2,0.3889678655196776,0.663583375,-1.0,0.0,150.0,2,204,305
clustering,degree_weighted,0.3,0.016854585609671045,0.4905644829007004,-1.0,0.0,150.0,2,204,305
assortativity,degree_weighted,0.3,-0.07749951482827531,-0.020658630939912073,-1.0,0.0,150.0,2,204,305
avg_path,degree_weighted,0.3,3.4857102628285355,4.303620150187735,-1.0,0.0,150.0,2,204,305
modularity,degree_weighted,0.3,0.3889678655196776,0.663583375,-1.0,0.0,150.0,2,204,305
clustering,edge_uniform,0.05,0.016854585609671045,0.4905644829007004,-1.0,0.08666666666666667,150.0,2,204,305
assortativity,edge_uniform,0.05,-0.07749951482827531,-0.020658630939912073,-1.0,0.02027027027027027,148.0,2,204,305
avg_path,edge_uniform,0.05,3.4857102628285355,4.303620150187735,-1.0,0.9933333333333333,150.0,2,204,305
modularity,edge_uniform,0.05,0.3889678655196776,0.663583375,-1.0,0.02,150.0,2,204,305
clustering,edge_uniform,0.1,0.016854585609671045,0.4905644829007004,-1.0,0.0,150.0,2,204,305
assortativity,edge_uniform,0.1,-0.07749951482827531,-0.020658630939912073,-1.0,0.0,150.0,2,204,305
avg_path,edge_uniform,0.1,3.4857102628285355,4.303620150187735,-1.0,0.9,150.0,2,204,305
modularity,edge_uniform,0.1,0.3889678655196776,0.663583375,-1.0,0.0,150.0,2,204,305
clustering,edge_uniform,0.2,0.016854585609671045,0.4905644829007004,-1.0,0.0,150.0,2,204,305
assortativity,edge_uniform,0.2,-0.07749951482827531,-0.020658630939912073,-1.0,0.0,150.0,2,204,305
avg_path,edge_uniform,0.2,3.4857102628285355,4.303620150187735,-1.0,0.0,150.0,2,204,305
