metric,sampler,frac,theta,mean_sampled,bias_rel,var_rel,nd,graph_id,graph_seed
assortativity,edge_uniform,0.3,-0.07871928916884834,-0.04179397058253431,0.46906990530881243,0.2707577289026122,0.541605321084384,0,100
avg_path,edge_uniform,0.3,3.38258760951189,3.4653953935942416,0.024480595674417828,0.026145904481711862,0.035817703524111164,0,100
modularity,edge_uniform,0.3,0.38664352117876866,0.4575573401913089,0.18340831210111105,0.04218008167747997,0.18819608985868289,0,100
clustering,random_node,0.05,0.022984676882078614,0.015178571428571428,-0.3396073778272512,4.664393066523157,4.676739874111452,1,101
assortativity,random_node,0.05,-0.08039590826784798,-0.2928841715176913,-2.6429904809513776,3.897432459822891,4.709074055616529,1,101
avg_path,random_node,0.05,3.4210012515644554,1.3749206349206349,-0.5980939111361675,0.10947754102313768,0.608030968394399,1,101
modularity,random_node,0.05,0.39033556934279373,0.6044666477246698,0.5485806229798217,0.47305419247859837,0.724376261987172,1,101
clustering,random_node,0.1,0.022984676882078614,0.02667138505175637,0.1603915424632195,2.8044142923759914,2.8089971467013743,1,101
assortativity,random_node,0.1,-0.08039590826784798,-0.1523990376705624,-0.8955957505583536,1.9583379716800382,2.1534110986391024,1,101
avg_path,random_node,0.1,3.4210012515644554,2.372944507796157,-0.30635955977199736,0.20070443787173584,0.3662491655213722,1,101
modularity,random_node,0.1,0.39033556934279373,0.8018064760249208,1.0541438824830507,0.1801864478178275,1.0694327846824438,1,101
clustering,random_node,0.2,0.022984676882078614,0.016135619222063115,-0.2979706751797049,0.7213807120214609,0.7804976969496061,1,101
assortativity,random_node,0.2,-0.08039590826784798,-0.11762156550131037,-0.46302349226468353,0.9265153058093403,1.0357709043451446,1,101
avg_path,random_node,0.2,3.4210012515644554,4.800616364450329,0.40327804878086915,0.25220280190366323,0.47564633701581627,1,101
modularity,random_node,0.2,0.39033556934279373,0.7943962355344667,1.0351596492021908,0.16069065589301557,1.0475576290723725,1,101
clustering,random_node,0.3,0.022984676882078614,0.019010555574767628,-0.17289555263910952,0.5372212165534587,0.5643576061661268,1,101
assortativity,random_node,0.3,-0.08039590826784798,-0.1168115336091655,-0.4529480812868611,0.5724048327326866,0.7299378445300557,1,101
avg_path,random_node,0.3,3.4210012515644554,5.4337056947207945,0.5883376552108116,0.2705461366960054,0.647561895589981,1,101
modularity,random_node,0.3,0.39033556934279373,0.7368351114605984,0.8876942857319338,0.1456898395344433,0.8995702719991918,1,101
clustering,snowball,0.05,0.022984676882078614,0.0908520000240223,2.9525918897284344,2.4989184218287046,3.8681251461457387,1,101
