metric,sampler,frac,theta,mean_sampled,bias_rel,var_rel,nd,graph_type,graph_id,graph_seed
clustering,edge_uniform,0.05,0.021792016446804865,0.07807784345368733,2.582746043636134,2.830930362865261,3.8320678289026335,BA,4,3004
assortativity,edge_uniform,0.05,-0.05739561483126053,0.10832781312582757,2.8873380153916046,2.3239280304263836,3.7063947854656525,BA,4,3004
avg_path,edge_uniform,0.05,3.4323498122653318,3.594767234927157,0.04731958693774386,0.18712417164814127,0.19301450443674364,BA,4,3004
modularity,edge_uniform,0.05,0.38990482747498156,0.6567582881818828,0.6844049047305505,0.25495604243814374,0.7303510506564322,BA,4,3004
clustering,edge_uniform,0.1,0.021792016446804865,0.07992947668302988,2.667710565819754,1.4823748714346388,3.0519034916666707,BA,4,3004
assortativity,edge_uniform,0.1,-0.05739561483126053,0.029604484920583353,1.5157705730140045,1.1964450932566921,1.931072575330409,BA,4,3004
avg_path,edge_uniform,0.1,3.4323498122653318,3.81876802387038,0.11258121116996612,0.10581791178417208,0.15450553246683216,BA,4,3004
modularity,edge_uniform,0.1,0.38990482747498156,0.5739842150554239,0.4721124297437022,0.1568067139258923,0.49747210158031857,BA,4,3004
clustering,edge_uniform,0.2,0.021792016446804865,0.06746685947941501,2.095847683320895,0.5339594697632142,2.1627968529271016,BA,4,3004
assortativity,edge_uniform,0.2,-0.05739561483126053,-0.006318251926135079,0.8899020099928723,0.5049494417054385,1.0231810817582527,BA,4,3004
avg_path,edge_uniform,0.2,3.4323498122653318,3.6550885935569877,0.06489394396857984,0.054211589472243145,0.08455838454526082,BA,4,3004
modularity,edge_uniform,0.2,0.38990482747498156,0.5008435994377782,0.28452709384015323,0.06962918604618103,0.2929230115210771,BA,4,3004
clustering,edge_uniform,0.3,0.021792016446804865,0.052756918057107464,1.4208634993639189,0.2142043548100688,1.4369191311428346,BA,4,3004
assortativity,edge_uniform,0.3,-0.05739561483126053,-0.02427353516652039,0.5770737483754966,0.348936254459779,0.6743668295079213,BA,4,3004
avg_path,edge_uniform,0.3,3.4323498122653318,3.5178180439279614,0.02490078559487953,0.02267944179377762,0.0336809471856049,BA,4,3004
modularity,edge_uniform,0.3,0.38990482747498156,0.4584248648545838,0.175734837879536,0.03598288581760461,0.17938088336361144,BA,4,3004
clustering,random_node,0.05,0.03345219388371812,0.013868298368298367,-0.5854118319312811,1.6900606806452076,1.7885782390569558,SBM,0,4000
assortativity,random_node,0.05,0.025736630445322463,-0.11508716931253621,-5.471513784341086,10.285852699108228,11.650589205700564,SBM,0,4000
avg_path,random_node,0.05,2.9643523153942426,2.0050299014710777,-0.32361945822763044,0.19546804997800046,0.3780705123462383,SBM,0,4000
modularity,random_node,0.05,0.5006110472627847,0.7676931839490534,0.5335112052268891,0.17018024166856435,0.5599960006616286,SBM,0,4000
